abacus	n．算盘
atrocious	a.残忍的，凶恶的
atrocity	n.残暴，暴行
atrophy	n.萎缩，衰退
attach	v.将某物系在(另一物)上
attachment	n.附件
attack	v./n.攻击，袭击；(病)发作
attain	v.达到，实现
attainment	n.成就
attempt	n.企图，试图　v.尝试，试图
attend	v.出席；照顾，护理 vi.注意，专心
attendance	n.到场，出席；出席人数；伺候
attendant	n.服务员，值班员，护理人员
attentive	adj.留心听的,关心的
attenuate	v.变薄；减弱
attest	(to)v.证明
attic	n.阁楼，顶楼
atticulate	v.清楚说话,接合
attire	v.穿着,装扮n.衣服
attorney	n.律师
attractive	a.吸引人的，引人注意的；漂亮的，迷人的
attribute	n.属性，品质；v.把…归于
attribution	n.归属
attrition	n.消磨,磨损
attune	(to)v.使调和
attune to	v.使调和,习惯于
auction	n.拍卖
audacious	a.大胆的；愚勇的
audacity	n.大胆,鲁莽
audible	a.听得见的
audience	n.听众，观众；读者
audio-visual	a.,视听的
audit	v.审计，核对；旁听
audition	n.(演员等)试唱
auditor	n.缩写审计者
auditorium	n.礼堂；观众席
auditory	adj.听觉的
auger	n.螺丝钻,钻孔机
augment	v.增大，增值
augmentation	n.增加
augur	n.占卜师；v.占卜
augury	n.预言，征兆，占卜
august	a.威严的，高贵的
aupair	v.好像;似乎;看来
aura	n.(人或物发出的)气味,香味;(电)辉光;(医)预感,先兆
aureole	n.光轮，光环
auricular	adj.耳的
aurora	n.极光(南北极夜晚所放彩光)
auroral	a.曙光的，极光的，玫瑰色的
auspice	n.预兆；吉兆
auspices	n.资助，赞助
auspicious	a.幸运的；吉兆的
austere	a.朴素的
austerity	n.朴素，艰苦
authentic	a.真正的；法律证实的
authenticate	v.证明(某物)为真
authenticity	n.确实性，真实性
authoritarian	n.独裁主义者；极权主义者
authoritative	adj.权威性的,命令式的
authority	n.权力；(pl.)官方，当局
authorization	n.授权，认可
authorize	v.授权,批准
autism	n.孤独症，自我中心主义
autobiography	n.自传
autocracy	n.独裁政府
autocrat	n.独裁者
automatic	a.自动的；机械的，无意识的
automation	n.自动化
automatism	n.无意识行动(如梦游)
automaton	n.机器人
automobile	n.汽车，机动车
autonomous	a.自治的
autonomy	n.自治，独立
autopsy	n.验尸，解剖
auxiliary	a.辅助的，协助的
auxin	n.生长素
avail	v.有益于 n.效用
available	a.可用的，可得到的
avalanche	n.雪崩
avant-courier	n.先驱，前卫
avant-garde	n.(艺术)先锋派
avarice	n.贪财，贪婪
avaricious	a.贪婪的，贪心的
avenge	v.为…复仇，为…报仇
aver	v.极力声明；断言；确证
average	平均数
average out	v.平均为
averse	a.不愿的;反对的
aversion	n.嫌恶，憎恨
avert	v.避免，防止；避开
aviary	n.大鸟笼，鸟舍
aviation	n.航空，航空学
aviator	n.飞行员，飞机驾驶员
avid	a.渴望的；热心的
avocation	n.副业,嗜好
avoid	v.避开，躲避
avouch	v.断言：承担
avow	v.承认；公开宣称
avowal	n.公开承认
avuncular	adj.伯(叔)父的
aware	a.意识到的，知道的
awe	n./v.敬畏
awe-inspiring	a.令人敬畏的
awesome	a.令人敬畏的，可怕的
awful	a.可怕的；极坏的
awkward	a.笨拙的；难用的；不便的
awl	n.(钻皮革的)尖钻
awning	n.遮阳蓬，雨蓬
awry	a.扭曲的，走样的
axiom	n.公理；定理
axiomatic	adj.不需证明的,不言自明的
axis	n.轴(常为虚构之线，如地球轴)
axle	n.轮轴(连接两个车轮的轴)
azure	adj.天蓝色的n.碧空
babble	v.胡言乱语；牙牙学语；喋喋不休
baboon	n.狒狒
baby-sit	v.当临时保姆
bacchanal	n.(行为放纵的)狂欢会
bacchanalian	adj.狂欢的,行为放纵的
bachelor	n.单身汉；学士
back	n.背面；后部 a.朝后面 ad.回去 v.支持?
backbite	v.诽谤
backbone	n.脊骨
backdrop	n.(事情的)背景；背景幕布
backfire	v.事与愿违
backhanded	a.间接的；反手击球的
backlog	n.积压未办之事
backset	n.倒退
backslide	vi.滑坡；倒退
backward	a.向后的；落后的 ad.向后地，倒，逆
backwater	n.闭塞的地方
bacon	n.熏猪肉,培根肉
bacteria	n.细菌，培养基
bacterium	n.细菌
badge	n.徽章(如校徽等)
badger	n.獾；v.一再烦扰，一再要求
badinage	n.开玩笑，打趣
badminton	n.羽毛球
baffle	v.使困惑,难倒
baffling	adj.令人困惑的
bagatelle	n.小事，琐事
baggage	n.行李
bail	n.保释金  v.保释
bait	n.诱饵；v.逗弄；激怒
bake	v.烘烤；烧硬，焙干
balance	n.均衡；收付平衡 v.(使)保持平衡
balcony	n.阳台；(剧院的)楼座，二楼包厢
bald	adj.秃头的
balderdash	n.胡言乱语
bale	n.大包裹；灾祸，不幸
baleful	a.有害的，恶意的
balk	n.大方木料；v.妨碍；(因困难等)不愿前进或从事某事
balky	a.倔强的，不听使唤的
ballad	n.歌谣，小曲
ballast	n.(船等)压舱物
ballerina	n.芭蕾舞女演员
ballet	n.芭蕾
ballistic	a.弹道(学)的,发射的,衡量冲击强度的
ballon	n.轻快优雅
balloon	n.气球；v.快速增加
ballot	n./v.投票
ballroom	n.大午厅
ballyhoo	n.大肆宣传
balm	n.香油，药膏；镇痛剂
balmy	a.(气候)温和的；芳香的
bamboo	n.竹；竹类
bamboozle	v.欺骗，隐瞒
ban	n.禁令
banal	a.陈腐的
banality	n.陈腐,平庸
band	n.带子；收音机波段
bandage	n.绷带；v.用绷带包扎
bandit	n.强盗
bandy	v.争吵，争论
bane	n.祸根
baneful	adj.有害的,致祸的
bang	vi.猛敲，猛撞 v.发出砰的响声 ad.砰地
banish	v.放逐某人
banister	n.(楼梯的)栏杆
bankrupt	a.破产的
bankruptcy	n.破产,倒闭
banner	n.旗帜,横幅标语旗
banquet	n.宴会，盛宴
banter	n.打趣，玩笑
bantering	n.取笑，戏谑
baptism	n.(基督教)洗礼,浸礼;(轮船等)命名礼
bar	v.禁止，阻挡；n.条，棒；酒吧
bar code	n.条形码
barb	n.(鱼钩的)倒钩；严厉的批评
barbarian	n.野蛮人
barbarity	n.残忍,残暴
barbarous	a.野蛮的；残暴的
barbecue	n.烤肉架；烤肉
barbed	adj.有倒钩的,讽剌的
barber	n.理发师
bard	n.吟游诗人
bare	v.暴露；a.赤裸的
barefaced	a.厚颜无耻的，公然的
barely	ad.贫乏地；仅仅，几乎没有
bargain	n.交易; 物美价廉的东西；v.讨价还价
barge	n.平底货船，驳船
baritone	n.［音］男中音,男中音歌手;萨克斯号
bark	v./n.狗吠；n.树皮
barley	n.大麦
barn	n.谷仓
barometer	n.气压计,晴雨表
baron	n.大财主,大老板
baroque	n./a.(艺术、建筑等)过分雕琢(的)；（艺术）巴洛克
barque	n.三桅船，轻舟
barrage	n.弹幕
barrel	n.桶;
barren	a.不育的；贫瘠的；不结果实的
barricade	v.设栅阻挡；n.栅栏
barrier	n.路障；障碍
barrister	n.大律师，讼务律师
barter	v.易货贸易
barterer	n.交易商
base	a.卑鄙的
baseball	n.棒球，棒球运动
basement	n.地下室，建筑物的底部
bashful	adj.害羞的,羞怯的
basic	a.基本的，基础的
basin	n.盆；大碗
basis	n.基础，基底；根据；基准
bask	v.晒太阳，取暖
basketry	n.(篮.篓.筐等的)编织术;(总称)(篮子等)编织物
bassoon	n.低音管,巴松
baste	v.倒油脂于(烤肉上，以防烤干)
bastion	n.堡垒
bat	n.粗棒，木棒
batch	n.一批，一炉
bate	v.减少，抑制
bathe	v.洗澡 vi.洗澡；游泳
bather	n.游泳者，嬉水者
bathetic	a.假作悲伤的；陈腐的
baton	n.指挥棒(指挥家用)；警棍
battalion	n.军营，军队
batter	v.打坏, 猛击n.击球手
battery	n.电池(组)；(器具等的)一组，一套；炮兵连
bauble	n.廉价珠宝
bauxite	n.铝土岩(产铝的矿土、石)
bawdy	a.淫猥的，好色的
bawl	v.大叫,大喊
bay	n.海湾
bazaar	n.集市，商店集中区
be at a disadventage	p.处于不利地位
be at issue	p.在争论中，不和的；待裁决的
be priced out of	p.被排挤出
beach	n.(海、河、湖)滩；海滨
beacon	n.烽火；灯塔
bead	n.1.珠子;2.(液体) 小滴
beak	n.鸟嘴
beam	n.(房屋等)大梁；光线
bear	n.熊；粗鲁的人，笨拙的人
beard	n.胡须
bearing	n.关系，意义；方位
beast	n.兽；野兽：兽性的人
beat	v.心跳；搅拌
beater	n.搅拌器
beatific	a.祝福的
beatitude	n．至福，十分幸福
beautician	n. 美容师
beaver	n．海狸
beckon	v.招呼：发信号或召唤
become	v.变成，变得
becoming	adj.合适的, 相称的
bedeck	v.装饰，修饰
bedecked	a.装饰着…的
bedizen	v.华丽而俗气地打扮
bedlam	n.混乱，骚乱
bedraggle	v.使…变湿和软
bedraggled	adj．（衣服、头发等）弄湿的，凌乱不堪的
beefy	adj.强壮的，结实的
beeline	p.径直前往；直奔
beet	n．甜菜
befitting	v.适合；适宜
beforehand	ad.预先；提前地
befoul	v.弄臭；弄脏；使堕落
befuddle	v.1.使酒醉昏迷2.使迷惑, 使迷糊
befuddlement	n.迷惑不解
beget	v．产生，引起
begrudge	v.吝啬，勉强给
beguile	v．欺骗，诱骗
beguiling	adj．欺骗的，迷人的
behalf	n.利益
behave	vi.举动，表现；运转 v.使运转正常
behavior	n.行为；态度
behemoth	n.庞然大物；巨兽
behest	n.命令,训谕;
behold	v．目睹，看见
beholden	a.欠…人情的；受…恩惠的
beholder	n.目睹者，旁观者
behoove	v.理应，有义务
belabor	v.过分冗长地做或说；痛打
belabour	v．（过份冗长地）做或说，痛打
belated	a.来得太迟的
belch	v.打嗝，喷出
beleaguer	v.围攻；骚扰
belie	v.掩饰；证明为假
believer	n.相信…的人
belittle	v.轻视，贬抑
bellicose	a.好战的，好斗的
belligerence	n.交战；好战性，斗争性
belligerent	adj．（国家等）交战的，挑斗的
bellow	v.吼叫
bellwether	n.领导者，领头羊
belly	n.肚子，腹部；(像肚子一样)鼓起的部分，膛
belongings	n．所有物，财产
beloved	a.被热爱的 n.爱人，心爱的人
bemused	a.困惑不解的
bench	n.法官席；长凳
bend	v.弯曲；屈服
benediction	n.祝福；祈祷
benefactor	n.行善者，捐助者
beneficial	adj．有益的，有用的
beneficiary	n.受益人
benefit	n.利益；救济金 v.有益于 vi.受益于
benevolence	n．善心，仁心
benevolent	a.善心的，仁心的
benighted	adj.愚昧的
benign	a.慈祥的
benignity	n．温和，仁慈
benison	n.祝福，赐福
bent	n.(天生)特长，爱好；a.弯曲的
benzene	n. 苯
bequeath	v. 遗赠
bequest	n.遗产，遗赠物
berate	v.猛烈责骂
bereave	v．丧亲，夺去
bereavement	n.丧亲之痛
bereft	a.被剥夺的；缺少的
bereft of	p.被夺走了某物;
berserk	adj．狂怒的，疯狂的
berth	v.(船)停泊
beseech	v．祈求，恳求
beset	v.镶嵌；困扰
besides	prep.此外；另外
besiege	v.围攻，困扰
besmear	v.弄脏
besmirch	v.诽谤
besot	v.使烂醉，使迷糊，使沉醉
bespeak	v．显示，表示
bespectacled	a. 带眼镜的
best	a.最好的 ad.最好地 n.最好的人(东西等)
bestial	a.野兽的，残忍的
bestow	v.给予，赐赠
bet	n.打赌，赌注 v.打赌，赌；确信，敢说
betoken	v.预示：做或给出记号或预兆
betray	v.背叛；暴露
betrayal	n.暴露,背叛
betroth	v.许配，和…订婚
better	off
better off	p.比较富裕
beverage	n.饮料
bevy	n．一群（少女或鸟）
bewilder	v.迷惑，混乱
bewildering	a.令人迷惑的；费解的
bewitching	v.使着迷；使着魔
bias	n.1.偏见;2.倾向，偏好
Bible	n.圣经
bibliography	n.文献学；参考书目
bibliophile	n.爱书者，藏书家
bibulous	adj．高度吸收的，嗜酒的
bicameral	adj.两院制的, 有两个议院的
bicentenary	n.&a.二百年(的);二百多年纪念的
bicker	v.为小事争吵
bid	v.命令；出价，投标
bidding	p.应…的要求
bide	p.等待时机；等待良机
biennial	a.两年一次的
bifurcate	v.分为两支，分叉
bifurcated	v.分叉
bigot	n.(宗教、政治等的)盲信者；心胸狭窄者
bigoted	固执己见的
bigotry	n．顽固，偏狭
bilateral	a.双边的
bile	n.胆汁；愤怒
bilingual	a.(说)两种语言的
bilious	adj．多胆汁的，坏脾气的
bilk	v.躲债；骗取
bill	n.账单；支票；招贴；钞票 v.给 …开账单
billow	n.大浪或波浪
billowy	a.如波浪般翻滚的
bin	n.大箱子
binary	a.二,双,复;［化］二元的;［数］二进制的
bind	v.捆, 包扎；装订；约束；使凝固 vi.变硬
binge	n.狂饮，无节制的行为
biochemistry	n.生物化学
biodegradable	a. 生物所能分解的
biofeedback	n.生物反馈
biographer	n.传记作者
biography	n.传记
biosphere	n.生命层，生物圈
biota	n.
bipartisan	a.由两党成员组成的;被两党支持的
biped	n.二足动物
bipedalism	n.二足类
birch	n.桦,白桦;桦木
bird	n.鸟；禽
birdle	n.比德尔
bisect	平分
bit	n.钻头
bite	v.咬，叮；刺骨 n.叮，咬；吃一口
biting	a.能扣人心弦的
bitter	a.辛酸的，辛苦的；有苦味的；严寒的
bitumen	n. 沥青
bizarre	a.奇异的，古怪的
blab	v.泄密
black hole	n.黑洞
blackball	v.投票反对
blackmail	n．v．敲诈，勒索
blackout	n.(幕间或剧中)灯暗;临时眩晕;删除;新闻封锁)
blade	n.刀锋，刀口
blame	v.责怪；把…归咎于 n.责备；过错
blanch	v.使变白；使(脸色)变苍白
bland	a.(人)情绪平稳的；(食物)无味的
blandish	v.巴结，讨好
blandishment	n.奉承，甘言劝诱
blandishments	n．甘言劝诱
blank	n.空白，表格 a.空白的；无表情的
blare	v．高声鸣叫
blarney	n.奉承话，谄媚
blase	adj.对享乐感到厌倦的，无动于衷的
blasphemous	adj．对神不敬的
blasphemy	n.亵渎，渎神
blast	n.一阵(大风)；冲击波；v.爆破；枯萎
blasé	a.厌倦于享乐的
blatant	a.厚颜无耻的；显眼的；炫耀的
blatantly	adv.
blather	v.喋喋不休
blaze	v. 炽燃；n. 火焰
blazon	n.纹章，装饰；v.精确描绘
bleach	v.漂白
bleachers	n．（球场的）露天座位
bleak	a.寒冷的；阴沉的；阴郁的，暗淡的
bleary	a.模糊的，蒙眬的
bleed	v.(使)流血；从…取血；从…抽取液体或空气
blemish	v.损害；玷污；n.瑕疵，缺点
blench	v.退缩，畏缩
blend	n.混和 (物);  v.混和, 掺混
bless	v．祝福，颂扬
blessed	v.使神圣
blessing	n.幸事；福气
blight	n.植物枯萎病；v.使…枯萎
blighted	a.枯萎的；衰老的
blind spot	n.视觉盲点
blindfold	n. 眼罩,障眼物
blinds	n．百页窗
blink	v.眨眼
bliss	n.狂喜；福佑，天赐的福
blissful	a.极幸福的
blithe	a.快乐的，无忧无虑的
blitz	n.闪电战，大量活动
blizzard	n.暴风雪
bloat	v.使膨胀
bloated	adj．肿胀的
blob	n.(半流质的)粘乎乎的一团,v.用斑点弄污
bloc	n. 集团
block	n.大块(石料等)；街区；阻塞物 v.阻拦
blockade	v./n.封锁
blockage	n.障碍物
blockbuster	n.轰动，巨型炸弹
blonde	a. n. 金发碧眼的（女子）
bloom	n.花，花期 vi.开花；容光焕发，显露出健康
blooming	a.有花的；精力旺盛的
blossom	n.花，开花 vi.开花
blot	n.墨迹,污迹;不雅观的事物
blotch	n.(皮肤上的)红斑点；(墨水等)大斑点
blotto	adj.烂醉的
blowhard	n.自吹自擂者
bludgeon	v.用重物连续猛击
blue	a.忧伤的，沮丧的
blueprint	n.蓝图；方案
blues	n.忧郁；沮丧；悲伤
bluff	n.陡峭的悬崖, 绝壁
blunder	v.犯大错；笨拙地做；n.愚蠢之举
blunt	a.钝的；直率的；v.变钝
blur	n.模糊不清的事物；v.使…模糊
blurb	n.简介；印在书籍封套上的推荐广告
blurry	a.
blurt	v.脱口而出
blush	v.因某事物脸红；n.因羞愧等脸上泛出的红晕
bluster	v.(指风)猛刮
blustering	a.大吵大闹的
board	n.板；委员会 v.上车(船)；包饭
boarding card	n.登机牌；登船卡
boarding school	n.寄宿学校：给学生提供食宿的学
boast	v./n.自夸
boastful	a.自我吹嘘的
bob	鲍勃(男名)
bode	v．预示
boding	v.预示
bodyguard	n.保镖，侍卫
bog	n.沼泽；v.使…陷入泥沼
boggle	v.畏缩不前；使退缩
bogus	a.假装的，假的
bohemian	a.不拘于传统的，放荡不羁的
boil	vi.沸腾 v.煮(沸)
boisterous	a.喧闹的；猛烈的
bold	adj.1.勇敢的;2.大胆的, 放肆无礼的
bolster	n.枕垫；v.支持，鼓励
bolt	v.急逃(to dash out; dart)；螺栓，门栓
bolted	adj．脱离的
bombardment	n.炮轰
bombast	n.高调，夸大之辞
bombastic	a.夸夸其谈的
bona fides	n.信誉
bonanza	n.走运，发财
bond	n.联系，约束；公债；票据 v.使结合，使粘
